customer_id,acquisition_date,acquisition_channel,acquisition_cac,city,city_tier,age,gender,preferred_category,cohort_month,cohort_month_dt,total_orders,total_revenue,total_gp,first_order,last_order,total_return_cost,total_returns,true_net_profit,profit_segment,buyer_segment,churned,recency,frequency,return_rate,avg_order_value,churn_probability,churn_probability_clean
CUST00001,2022-01-26,Organic Search,148.98,Kolkata,Tier 1,26,Male,Skincare,2022-01,2022-01,1,2696.4,2056.4,2022-01-27,2022-01-27,0.0,0.0,1907.42,Profitable,One-Time Buyer,1,1070,1,0.0,2696.4,1.0,1.0
CUST00002,2022-02-02,Influencer,1340.5,Mumbai,Tier 1,50,Female,Haircare,2022-02,2022-02,1,718.2,518.2,2022-02-03,2022-02-03,0.0,0.0,-822.3,Near Break-Even,One-Time Buyer,1,1063,1,0.0,718.2,1.0,1.0
CUST00003,2023-12-20,Organic Search,144.09,Chennai,Tier 1,35,Male,Skincare,2023-12,2023-12,3,4029.1000000000004,2959.1,2023-12-20,2024-04-19,0.0,0.0,2815.0099999999998,High Value,Occasional,1,257,3,0.0,1343.0333333333335,1.0,1.0
CUST00004,2022-06-13,Organic Search,168.05,Ahmedabad,Tier 1,27,Female,Supplements,2022-06,2022-06,1,798.4,568.4,2022-06-13,2022-06-13,0.0,0.0,400.34999999999997,Profitable,One-Time Buyer,1,933,1,0.0,798.4,1.0,1.0
CUST00005,2023-01-25,Paid Instagram,1308.5,Mumbai,Tier 1,34,Male,Personal Care,2023-01,2023-01,1,805.6,595.6,2023-01-28,2023-01-28,0.0,0.0,-712.9,Near Break-Even,One-Time Buyer,1,704,1,0.0,805.6,1.0,1.0
CUST00006,2023-01-23,Influencer,1422.5,Mumbai,Tier 1,41,Female,Skincare,2023-01,2023-01,1,1849.65,1429.65,2023-01-25,2023-01-25,1700.01,1.0,-1692.86,Value Destroying,One-Time Buyer,1,707,1,1.0,1849.65,1.0,1.0
CUST00007,2022-08-22,Paid Instagram,1391.13,Jaipur,Tier 2,32,Male,Personal Care,2022-08,2022-08,6,7696.2,5616.2,2022-08-23,2023-05-19,1268.0,1.0,2957.0699999999997,High Value,Loyal,1,593,6,0.16666666666666666,1282.7,1.0,0.97
CUST00008,2023-10-13,Paid Google,681.33,Lucknow,Tier 2,40,Female,Supplements,2023-10,2023-10,2,4490.45,3420.45,2023-10-15,2024-02-04,2271.97,1.0,467.1500000000001,Profitable,Occasional,1,332,2,0.5,2245.225,1.0,1.0
CUST00009,2023-12-01,Organic Search,221.83,Ahmedabad,Tier 1,28,Female,Haircare,2023-12,2023-12,1,1801.2,1411.2,2023-12-04,2023-12-04,0.0,0.0,1189.3700000000001,Profitable,One-Time Buyer,1,394,1,0.0,1801.2,1.0,1.0
CUST00010,2023-01-24,Paid Instagram,1355.23,Delhi,Tier 1,32,Male,Skincare,2023-01,2023-01,2,1888.1999999999998,1348.2,2023-01-24,2023-03-20,0.0,0.0,-7.029999999999973,Near Break-Even,Occasional,1,653,2,0.0,944.0999999999999,1.0,1.0
CUST00011,2022-02-02,Paid Instagram,1040.7,Jaipur,Tier 2,22,Female,Supplements,2022-02,2022-02,1,719.1,509.1,2022-02-04,2022-02-04,0.0,0.0,-531.6,Near Break-Even,One-Time Buyer,1,1062,1,0.0,719.1,1.0,1.0
